Time,Pressure (Pa),Signal
0,807.4552223025056,1
1,1014.4895477922626,0
2,1076.8491010248802,0
3,845.3227592754502,1
4,921.4551306740652,1
5,1077.855217113783,0
6,1148.8753733488215,0
7,829.998835516939,1
8,1126.4101470866015,0
9,1077.5319207840805,0
10,1063.2879240249304,0
11,816.3469500193326,1
12,1052.4216551850425,0
13,1056.027878677023,0
14,1055.6720658394233,0
15,1047.4005248807541,0
16,1060.2042016325454,0
17,869.2934076047065,1
18,889.2561755729928,1
19,1148.6364127805568,0
20,1158.1860602458012,0
21,1024.7392169467485,0
22,1085.7565441691477,0
23,1044.6489336242537,0
24,1069.6908986530707,0
25,986.4638301502423,1
26,927.8716635914511,1
27,1068.6828343808802,0
28,922.9087835234179,1
29,1167.0613471948009,0
30,857.5448226824092,1
31,1113.7078326942997,0
32,1129.9533541625542,0
33,885.2963058938246,1
34,1146.8372943491402,0
35,927.5557520305707,1
36,1144.1952712689285,0
37,1006.7468110080389,0
38,1018.7378973487034,0
39,945.5832326286094,1
40,1149.6208841676134,0
41,897.2090346732085,1
42,1195.8427044832201,0
43,819.2801536681652,1
44,1012.2118043312333,0
45,1019.9639696429894,0
46,905.0806424257765,1
47,902.6311065685679,1
48,1017.9991306347312,0
49,1047.3766781964434,0
50,1031.7050550534623,0
51,1164.024794498649,0
52,840.1377130975743,1
53,973.7605015916452,1
54,1000.5748475581477,0
55,868.960136179943,1
56,877.8961522130564,1
57,1163.7407722420812,0
58,802.9523440665913,1
59,1163.3883365088395,0
60,926.4944935334958,1
61,830.755904451166,1
62,1099.2651281067765,0
63,888.5353266732777,1
64,879.1879860484466,1
65,821.6280676785408,1
66,878.4524961436957,1
67,1115.6135982259682,0
68,913.6660088966887,1
69,1136.5799591938658,0
70,1016.8908525689548,0
71,1185.8502972390288,0
72,984.0509360866744,1
73,1007.8439197375665,0
74,1109.5047036224046,0
75,805.9349400218797,1
76,966.8891758569064,1
77,969.9068819481282,1
78,1052.1951517736375,0
79,849.8376670001708,1
80,1092.2873893364185,0
81,866.6350516366998,1
82,928.2792795927322,1
83,1072.8192955773009,0
84,980.4742341719156,1
85,1098.9785671755953,0
86,932.0563743220755,1
87,855.0629192954967,1
88,1026.885332312642,0
89,1125.6873631997623,0
90,824.3409127095662,1
91,950.0134104719749,1
92,1063.7612766038517,0
93,1137.608151023117,0
94,980.227309675382,1
95,982.4134070399327,1
96,924.6050169609961,1
97,1141.6816095156837,0
